bandwidth_m,rdd_estimate,se,ci_lower,ci_upper,n_pixels
100,-0.5733874514151227,0.03047548801059155,-0.6331194079158822,-0.5136554949143632,284594
200,-0.9654777840470055,0.02268478542948812,-1.0099399634888022,-0.9210156046052087,440120
300,-1.0155581465845076,0.01940021487984509,-1.053582567749004,-0.9775337254200113,552984
